,participant,part,enjoyment,effort,motivation,worthwhile,concent,subgoals,hints,subgoalGraphics,thumbnailGraphics,other,timestamp,harderOrEasier,future
112,6018f8bbf8a80c12afba253f,3,3.0,5.0,3.0,4.0,5.0,5.0,5.0,,5.0,,2021-02-02T18:17:42.744Z,3.0,"Yes, uptil now I got lot of information about dealing with Data using Python."
113,60194527f8a80c12afbba1bf,2,5.0,3.0,2.0,2.0,2.0,,,,,,2021-02-02T18:20:53.051Z,,
114,6018f6f3f8a80c12afba2286,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,it is very usefull,2021-02-02T18:24:52.411Z,,
115,60193a1cf8a80c12afbb4284,3,5.0,4.0,5.0,3.0,5.0,4.0,5.0,,4.0,,2021-02-02T18:40:26.083Z,5.0,
116,6018f410f8a80c12afba2194,3,3.0,5.0,5.0,3.0,5.0,4.0,5.0,,3.0,,2021-02-02T19:10:23.404Z,5.0,
117,6018f6ebf8a80c12afba227b,2,4.0,3.0,4.0,2.0,4.0,,,2.0,,,2021-02-02T19:10:35.512Z,,
118,6018f5fef8a80c12afba21ff,3,4.0,5.0,4.0,4.0,4.0,5.0,5.0,,5.0,,2021-02-02T19:12:36.019Z,4.0,
119,60191b2af8a80c12afba6602,2,3.0,5.0,3.0,3.0,4.0,,,5.0,,,2021-02-02T19:16:34.538Z,,
120,6018f44df8a80c12afba219c,3,3.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,3.0,,2021-02-02T19:17:09.876Z,3.0,Yes
121,6018f517f8a80c12afba21c8,3,2.0,2.0,3.0,2.0,2.0,3.0,2.0,3.0,3.0,This was good!,2021-02-02T19:33:00.171Z,4.0,"Yes, now i have a little bit new."
122,6019275ff8a80c12afba906a,2,5.0,4.0,4.0,3.0,4.0,,,,,,2021-02-02T20:00:25.807Z,,
123,6019275ff8a80c12afba906a,2,,,,,,,,,,,2021-02-02T20:02:13.937Z,,
124,6019291bf8a80c12afba99cf,2,1.0,5.0,1.0,3.0,5.0,,,2.0,,,2021-02-02T20:15:50.312Z,,
125,6018f3b6f8a80c12afba2184,3,5.0,5.0,5.0,2.0,5.0,5.0,5.0,,5.0,,2021-02-02T20:21:39.633Z,4.0,
126,6018f3a9f8a80c12afba217e,3,3.0,2.0,5.0,2.0,1.0,,3.0,2.0,2.0,,2021-02-02T20:25:47.221Z,2.0,
127,6018f5a0f8a80c12afba21ec,2,3.0,3.0,5.0,5.0,4.0,,,5.0,,i enjoyed this session. superb effort from your side ,2021-02-03T00:16:06.487Z,,
128,601a16cef8a80c12afbd712f,1,,,,,,,,,,,2021-02-03T04:16:48.904Z,,
129,6019275ff8a80c12afba906a,3,4.0,4.0,4.0,3.0,,4.0,4.0,,,,2021-02-03T04:31:19.121Z,,
130,6018f6f3f8a80c12afba2286,2,5.0,5.0,5.0,5.0,5.0,,,,,it is very usful,2021-02-03T04:57:44.606Z,,
131,60190c05f8a80c12afba4a8f,2,,,,,,,,,,,2021-02-03T05:00:09.976Z,,
132,6018f6f3f8a80c12afba2286,2,5.0,3.0,4.0,2.0,3.0,,,,,it is usefull,2021-02-03T05:02:44.021Z,,
133,6018f723f8a80c12afba2369,3,3.0,4.0,4.0,5.0,3.0,5.0,5.0,5.0,5.0,,2021-02-03T05:10:28.303Z,4.0,
134,6018f6f3f8a80c12afba2286,2,4.0,2.0,3.0,2.0,4.0,,,,,,2021-02-03T05:13:57.01Z,,
135,6018f5a0f8a80c12afba21ec,3,,5.0,2.0,,4.0,,4.0,5.0,5.0,,2021-02-03T05:58:11.382Z,3.0,yes In Sha Allah!
136,601963bff8a80c12afbc316c,2,4.0,5.0,4.0,5.0,4.0,,,3.0,,"very helpfull
",2021-02-03T06:31:18.812Z,,
137,601a3a2ef8a80c12afbda079,1,5.0,5.0,4.0,4.0,5.0,4.0,5.0,,5.0,i like it soo much,2021-02-03T07:21:28.323Z,,
138,601963bff8a80c12afbc316c,3,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,there should be introduce a little test in last of the course to check the skills .the test must have no subgoals or hints.,2021-02-03T08:37:26.214Z,3.0,it really helped me a lot in polishing my skills.i learnt many new things.
139,60191b2af8a80c12afba6602,3,2.0,5.0,3.0,2.0,4.0,2.0,5.0,5.0,4.0,,2021-02-03T08:53:01.898Z,4.0,
140,6018f6ebf8a80c12afba227b,3,2.0,2.0,,,,,,,,,2021-02-03T09:23:07.136Z,,
141,6018f6f3f8a80c12afba2286,3,4.0,3.0,5.0,2.0,3.0,4.0,3.0,,4.0,,2021-02-03T10:45:57.422Z,2.0,
142,6018f4bbf8a80c12afba21b3,2,4.0,5.0,4.0,4.0,5.0,,,5.0,,,2021-02-03T14:27:16.891Z,,
143,60190c05f8a80c12afba4a8f,3,,,,,,,,,,,2021-02-03T14:43:51.97Z,,
144,6018f4bbf8a80c12afba21b3,3,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,4.0,,2021-02-03T16:07:32.108Z,4.0,yes
145,6018f733f8a80c12afba2374,1,4.0,4.0,5.0,,4.0,4.0,4.0,,4.0,,2021-02-03T18:33:25.901Z,,
146,60194527f8a80c12afbba1bf,3,5.0,3.0,3.0,3.0,4.0,5.0,5.0,,4.0,,2021-02-04T04:39:51.202Z,4.0,
147,601ba4acf8a80c12afbdee12,1,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,2021-02-04T09:09:00.277Z,,
148,601b8f72f8a80c12afbde80a,3,4.0,5.0,5.0,5.0,4.0,5.0,4.0,,3.0,very motivative for intermediate python user,2021-02-04T10:29:01.566Z,4.0,yes
149,6018f733f8a80c12afba2374,2,4.0,3.0,5.0,4.0,4.0,,,,,,2021-02-04T12:39:35.274Z,,
150,601ba4acf8a80c12afbdee12,2,5.0,5.0,5.0,5.0,5.0,,,5.0,,,2021-02-04T14:19:47.829Z,,
151,601c0172f8a80c12afbe19d1,1,1.0,3.0,1.0,1.0,2.0,1.0,3.0,,2.0,,2021-02-04T14:37:14.232Z,,
152,601c0004f8a80c12afbe1803,1,3.0,3.0,1.0,2.0,1.0,3.0,1.0,5.0,5.0,,2021-02-04T14:37:46.008Z,,
