,participant,gender,reason,language,english,excel,visual,r,python,timestamp
217,603170eaa6af0b0a8bd4121d,male,curiosity,python,5,2,2,1,3,2021-02-20T20:29:07.368Z
218,6031f9bfa6af0b0a8bd4125f,prefernot,Other,python,1,0,5,0,0,2021-02-21T06:13:31.022Z
219,6032151aa6af0b0a8bd41497,male,jobsearch,python,4,4,2,3,3,2021-02-21T08:10:10.145Z
220,60329eb1a6af0b0a8bd41e61,female,project,python,5,4,3,4,4,2021-02-21T17:57:14.688Z
221,60337093a6af0b0a8bd42ac1,male,research,r,4,4,0,1,3,2021-02-22T08:54:12.242Z
222,6033ba09a6af0b0a8bd44439,male,jobsearch,python,5,4,4,2,4,2021-02-22T14:06:01.409Z
223,6033d2d5a6af0b0a8bd44495,male,curiosity,python,4,4,2,2,3,2021-02-22T15:52:23.552Z
224,60340d95a6af0b0a8bd4558b,male,curiosity,python,5,4,1,0,0,2021-02-22T20:03:39.178Z
225,6034d8eda6af0b0a8bd457ad,male,curiosity,python,4,4,1,0,2,2021-02-23T10:30:49.639Z
226,6034f4d0a6af0b0a8bd457e3,male,curiosity,python,5,4,2,1,2,2021-02-23T12:29:54.555Z
227,60351426a6af0b0a8bd4614a,male,curiosity,python,3,0,2,0,4,2021-02-23T14:43:48.719Z
228,6035ee7ea6af0b0a8bd462e3,male,jobsearch,python,5,2,1,0,3,2021-02-24T06:14:09.214Z
229,603611d9a6af0b0a8bd462ea,male,curiosity,python,4,3,4,1,4,2021-02-24T08:45:35.984Z
230,60362ef0a6af0b0a8bd462f2,female,partofcourse,python,5,2,3,1,0,2021-02-24T10:49:11.473Z
231,603648baa6af0b0a8bd4631e,female,partofcourse,python,5,3,3,0,2,2021-02-24T12:39:07.31Z
232,6037236aa6af0b0a8bd482cd,female,curiosity,python,4,3,3,3,5,2021-02-25T04:13:26.977Z
233,6037aa0ea6af0b0a8bd48d99,prefernot,Other,python,3,3,3,3,3,2021-02-25T13:46:12.611Z
234,6037ccbfa6af0b0a8bd49964,prefernot,curiosity,python,3,4,0,0,2,2021-02-25T16:17:50.376Z
235,6037ecc7a6af0b0a8bd49eed,male,partofcourse,python,5,2,0,1,3,2021-02-25T18:31:06.411Z
236,60380562a6af0b0a8bd49f1b,male,Other,python,5,3,1,3,4,2021-02-25T20:16:50.523Z
237,60390376a6af0b0a8bd49f38,male,jobsearch,python,4,4,2,1,3,2021-02-26T14:20:42.491Z
238,603a8e8ba6af0b0a8bd4c64e,male,curiosity,r,5,3,2,2,0,2021-02-27T18:25:54.784Z
239,603d439fa6af0b0a8bd52ba3,female,curiosity,python,4,3,2,2,3,2021-03-01T19:43:47.229Z
240,603d7455a6af0b0a8bd53507,male,jobsearch,python,4,4,2,2,4,2021-03-01T23:12:35.621Z
241,603e09b4a6af0b0a8bd5350d,male,partofcourse,python,4,4,3,4,2,2021-03-02T09:49:20.754Z
242,603eb70ba6af0b0a8bd5371b,male,partofcourse,python,4,0,2,0,0,2021-03-02T22:11:36.192Z
243,603fca9ca6af0b0a8bd5374f,male,project,python,3,3,3,1,2,2021-03-03T17:44:27.329Z
244,604064afa6af0b0a8bd537d8,male,curiosity,python,5,4,2,3,4,2021-03-04T04:43:06.181Z
245,604243eaba869b0aa718df97,prefernot,curiosity,python,0,0,1,0,0,2021-03-05T14:46:03.227Z
246,6043ba33ba869b0aa718e216,male,curiosity,python,5,3,3,1,4,2021-03-06T17:23:35.038Z
247,6043d2acba869b0aa718e21f,male,curiosity,python,5,1,4,1,4,2021-03-06T19:08:10.23Z
248,6043f0bcba869b0aa718e259,male,curiosity,python,4,4,2,0,3,2021-03-06T21:15:31.284Z
249,6045cb5fba869b0aa718e2eb,male,curiosity,python,5,2,2,0,2,2021-03-08T07:01:04.18Z
250,60464c7fba869b0aa718e375,prefernot,Other,python,2,2,2,2,2,2021-03-08T16:11:32.689Z
251,6047772dba869b0aa718e6f5,male,jobsearch,python,5,3,3,1,4,2021-03-09T13:25:45.051Z
252,604844e2ba869b0aa718e77a,male,curiosity,python,4,5,2,5,3,2021-03-10T04:06:07.546Z
253,6048d5a3ba869b0aa718e7a0,male,project,python,4,4,2,1,4,2021-03-10T14:21:14.276Z
254,60490662ba869b0aa718e7b3,male,jobsearch,python,2,3,2,0,4,2021-03-10T17:49:54.06Z
255,604a2fdeba869b0aa718eb64,male,research,python,2,0,0,3,4,2021-03-11T14:58:59.942Z
